R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Chris Leben,Patrick Cote,2,0,0,6,827.5,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,170,0,1,0,1,95,0,0,0,0,1,0,0,1,Southpaw,180.34,187.96,185,25,25,0
Stephan Bonnar,Sam Hoger,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,187.96,,205,1,0,0,3,900,1,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,25,28,0
Nate Quarry,Pete Sell,0,1,0,3,859,0,0,0,0,0,1,0,1,Orthodox,180.34,190.5,170,0,2,0,2,177,0,0,0,0,2,0,0,2,Open Stance,182.88,182.88,185,23,33,0
Josh Koscheck,Pete Spratt,0,1,0,4,232.6666667,0,0,0,0,0,2,0,2,Orthodox,175.26,,170,0,1,0,1,261,0,0,0,0,1,0,0,1,Orthodox,177.8,185.42,170,34,27,0
Mike Swick,Gideon Ray,1,0,0,1,300,0,0,0,0,0,0,0,0,Southpaw,177.8,,185,0,1,0,1,20,0,0,0,0,1,0,0,1,Orthodox,185.42,195.58,170,32,26,0
Kenny Florian,Alex Karalexis,0,1,0,1,100,0,0,0,0,1,0,0,1,Orthodox,172.72,167.64,155,1,0,0,1,169,1,0,0,0,0,0,0,0,Southpaw,177.8,187.96,145,27,29,0
Drew Fickett,Josh Neer,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,1,0,0,1,280,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,22,25,0
Andrei Arlovski,Justin Eilers,1,0,0,2,144,0,0,0,0,1,0,0,1,Orthodox,185.42,,235,0,4,0,12,294.5714286,1,0,0,0,3,2,0,5,Orthodox,190.5,195.58,240,26,26,0
Karo Parisyan,Matt Serra,0,2,0,19,795.5714286,0,1,0,2,0,1,0,4,Orthodox,167.64,172.72,170,0,2,0,10,733,0,0,1,1,0,1,0,3,Orthodox,177.8,182.88,170,31,22,0
Rich Franklin,Evan Tanner,0,4,0,17,343.75,2,0,0,2,4,3,1,10,Orthodox,182.88,187.96,185,0,4,0,6,351.25,0,0,0,0,3,1,0,4,Southpaw,185.42,190.5,185,34,30,0
Forrest Griffin,Bill Mahood,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,,200,0,1,0,3,900,1,0,0,1,0,0,0,1,Orthodox,190.5,195.58,205,38,26,0
Paul Buentello,Kevin Jordan,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,,245,0,1,0,1,214,0,0,0,0,1,0,0,1,Orthodox,187.96,195.58,245,34,31,0
Nate Quarry,Shonie Carter,1,0,0,7,651,0,0,0,1,1,0,0,2,Southpaw,177.8,,170,0,1,0,1,197,0,0,0,0,1,0,0,1,Open Stance,182.88,182.88,185,33,33,0
